Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,1.758748,2e-05,0.19173537,0.050988216,0.03484391,5.976500021204813,5.976500014775651,1160.4719101123596
10000,1.6474293,1.9999996e-05,0.7287354,0.12300091,0.033394765,6.474513739057046,6.474513758099072,513.1720430107526
15000,1.5028058,1.9999994e-05,1.2471416,0.14286295,0.034538925,11.816139840318689,11.816139861335024,792.8171428571428
20000,1.368441,1.9999992e-05,1.4788228,0.1394804,0.035036437,19.459035414973982,19.459035437320072,1159.3904761904762
25000,1.2476345,1.9999992e-05,1.7945621,0.15566121,0.033062097,24.46822479556591,24.468224790009028,1286.989010989011
30000,1.0796673,1.999999e-05,2.5850887,0.16662373,0.03376637,35.36056284942054,35.3605629448904,1622.816091954023
35000,0.9816829,1.9999987e-05,3.0778954,0.16196756,0.03486572,41.667695197485095,41.66769525845188,1437.1842105263158
40000,0.97755176,1.9999983e-05,2.707368,0.16549815,0.03550696,65.74977712840415,65.74977719862912,2024.5230769230768
45000,0.930866,1.9999981e-05,2.715247,0.17763115,0.03521946,57.41823377144922,57.41823387994363,2023.642857142857
50000,0.89577705,1.999998e-05,2.7960994,0.18258093,0.034477208,34.02733655914917,34.02733657085308,1262.320987654321
55000,0.89423126,1.9999978e-05,2.7006552,0.17463143,0.035606407,51.2804951719976,51.28049514800262,1680.3506493506493
60000,0.8003427,1.9999978e-05,3.1623204,0.1837775,0.03445928,44.997606067042796,44.99760609566443,1758.9733333333334
65000,0.8553303,1.9999976e-05,2.9511883,0.1702115,0.03443915,56.525115012391645,56.52511503813756,1601.7974683544303
70000,0.86423886,1.9999976e-05,2.4710255,0.17966808,0.03510142,51.59393862958998,51.59393870809585,1595.8
75000,0.7859183,1.9999972e-05,3.0626466,0.17795287,0.033140916,44.647151587839396,44.647151655730504,1864.8181818181818
80000,0.83725214,1.9999967e-05,2.6243422,0.18309264,0.034843396,54.985692975059564,54.98569305252113,1541.9027777777778
85000,0.83011466,1.9999965e-05,2.892137,0.18270816,0.033230614,40.01244098361755,40.01244096048198,1573.3837209302326
90000,0.81891984,1.9999963e-05,3.512716,0.20144893,0.03460805,46.71895773903816,46.71895785667842,1430.6875
95000,0.9062682,1.9999963e-05,2.9705694,0.20701909,0.03432672,49.21199237597325,49.21199238600298,1262.0
100000,0.9551303,1.9999961e-05,3.2136679,0.18051831,0.03598783,58.667292836137,58.667292809889474,1982.2380952380952
105000,0.994608,1.999996e-05,2.7581139,0.17440504,0.03385993,69.76520931534469,69.76520943027342,2133.4727272727273
110000,0.90766066,1.9999956e-05,3.5351746,0.19164388,0.033322904,47.48941693587206,47.48941700687771,1671.5061728395062
115000,0.92953694,1.9999954e-05,3.4249415,0.20797762,0.036268704,62.29539686639882,62.295396958937175,1628.9761904761904
120000,0.9268092,1.999995e-05,3.2162,0.21116532,0.034335796,49.76585380839841,49.765853894016885,1408.5529411764705
125000,0.90176094,1.999995e-05,3.249545,0.20904325,0.035559885,53.19770519893861,53.197705247346526,1526.4761904761904
130000,0.8896545,1.999995e-05,3.3898833,0.21121512,0.0342403,45.68972994068263,45.68973007969222,1373.7058823529412
135000,0.8924961,1.9999947e-05,3.1406417,0.20351008,0.034458105,51.801344981376566,51.801345106844565,1359.9239130434783
140000,0.8767382,1.9999945e-05,2.9828353,0.20105623,0.03375234,42.89477812075479,42.89477812921616,1384.3295454545455
145000,0.8858292,1.9999943e-05,2.8671737,0.20519494,0.031609606,46.713263964047655,46.71326403469447,1431.8295454545455
150000,0.87913436,1.9999941e-05,3.066322,0.1828271,0.03277184,52.08736408384051,52.087364113065014,1703.8533333333332
155000,0.8763878,1.9999936e-05,3.3972046,0.19076498,0.034090307,56.87359690929855,56.87359677139294,1830.9295774647887
160000,0.8530223,1.9999934e-05,3.284934,0.21706867,0.034124218,49.465045845581464,49.46504593148332,1335.5652173913043
165000,0.87014747,1.9999934e-05,3.4008608,0.19853067,0.033102278,54.62617199116007,54.62617199792013,1615.4938271604938
170000,0.8597843,1.9999932e-05,3.3133616,0.19302128,0.033496138,57.40730332072489,57.40730346972324,1631.825
175000,0.8382422,1.999993e-05,3.4498374,0.20446879,0.035412665,52.3763416547188,52.37634174753455,1441.978494623656
180000,0.81587255,1.9999929e-05,3.578031,0.23435551,0.034849454,44.887722152321096,44.88772222657611,1208.0288461538462
