Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7916667,0.00019999995,0.33913845,0.4961132323369384,0.49611327449338205,878.0
2000,1.7882485,0.00019999995,0.3499483,-3.021301046013832,-3.0213009359038856,1198.6666666666667
3000,1.7808787,0.00019999995,0.29715395,2.551376448571682,2.5513764297719375,1797.4
4000,1.7695447,0.00019999995,0.31500426,3.0013311110436915,3.001331094622313,1468.0
5000,1.7743529,0.00019999995,0.29597893,7.52756858492891,7.527568770682062,1306.3333333333333
6000,1.7286303,0.00019999995,0.41755933,3.900294608149964,3.900294632042851,1280.6923076923076
7000,1.7325454,0.00019999995,0.2986223,5.623722568154335,5.623722470101362,731.2857142857143
8000,1.6953152,0.00019999995,0.35597372,4.8467731611337515,4.8467731969535865,656.0
9000,1.7026752,0.00019999995,0.1546901,3.192351207137108,3.192351297111903,1002.0
10000,1.6714107,0.00019999995,0.1006007,10.253229485824704,10.25322962487553,535.0
11000,1.5399877,0.00019999992,0.95125294,1.692356302344706,1.6923563176338163,850.375
12000,1.5149263,0.0001999999,1.0205536,6.7768350796630745,6.776835114279388,288.46153846153845
13000,1.4981098,0.0001999999,1.0917699,9.963305056095123,9.963305035182135,356.0
14000,1.455214,0.0001999999,1.2722843,21.02643065831878,21.02643056238313,608.8181818181819
15000,1.4326185,0.0001999999,1.2780539,22.77004468866757,22.770044590434736,621.7142857142857
16000,1.3313608,0.0001999999,1.9092393,12.554757402063561,12.554757362076483,955.3846153846154
17000,1.3067068,0.0001999999,2.1614287,33.70366812580161,33.703668313750214,836.4444444444445
18000,1.2738904,0.0001999999,2.2396226,34.745689541101456,34.745689472390154,820.75
19000,1.2604295,0.0001999999,2.336009,82.81211624542873,82.81211631644935,1761.0
20000,1.2209878,0.0001999999,2.4482079,135.31503727038702,135.3150363880471,2774.3333333333335
21000,1.1745727,0.0001999999,2.822418,50.72550746964084,50.72550730028151,1387.2222222222222
22000,1.1509756,0.0001999999,3.112424,79.22674435377121,79.22674434492365,1611.0
23000,1.1281239,0.0001999999,3.0132442,102.22918173670769,102.22918115647371,2062.5
24000,1.1178218,0.0001999999,3.1050997,None,None,None
25000,1.1222297,0.0001999999,3.2285123,None,None,None
26000,1.1473405,0.0001999999,3.1341834,195.8375033182092,195.83750358312207,4126.875
27000,1.0883605,0.0001999999,3.5461044,None,None,None
28000,1.074457,0.0001999999,3.6837766,None,None,None
29000,1.0714643,0.00019999988,3.7547944,None,None,None
30000,1.0928683,0.00019999986,3.913511,None,None,None
31000,1.1688989,0.00019999986,3.4043665,235.42528716288507,235.42528746309742,4922.0
32000,1.06129,0.00019999986,4.156362,76.27841621637344,76.27841628118767,1513.0
33000,1.0454856,0.00019999986,4.273132,63.89021646976471,63.890216408341075,1264.0
34000,1.0681155,0.00019999986,3.5967596,197.319466650486,197.3194669405475,3530.0
35000,1.0707427,0.00019999986,3.3637486,None,None,None
36000,1.0195531,0.00019999986,4.1393247,173.8941494094979,173.89414975966335,4133.25
37000,0.93241435,0.00019999986,5.0571404,73.2417532261461,73.24175320043105,1382.0
38000,0.89775413,0.00019999986,5.3567424,None,None,None
39000,0.8608756,0.00019999986,5.534278,None,None,None
40000,0.84842163,0.00019999986,5.425188,209.60860436409712,209.6086044999995,3637.0
41000,0.90913296,0.00019999986,4.8133755,194.81994546784296,194.8199453922596,3358.6666666666665
42000,0.8257967,0.00019999986,5.6403313,None,None,None
43000,0.808488,0.00019999986,5.7886543,None,None,None
44000,0.78474677,0.00019999983,5.602401,187.60653497775397,187.6065349277128,3177.3333333333335
45000,0.7621419,0.00019999983,5.814298,None,None,None
46000,0.8914022,0.00019999983,4.723988,217.70057191886008,217.70057278746333,3618.75
47000,0.818697,0.00019999983,5.298433,None,None,None
48000,0.83884436,0.00019999983,5.082087,133.8938866853714,133.8938864703623,2276.5
49000,0.8331802,0.00019999983,5.2234173,None,None,None
50000,0.8093657,0.00019999983,5.294571,None,None,None
51000,0.80140287,0.00019999983,5.2589808,227.49099887534976,227.49099942120768,4352.875
52000,0.7135146,0.00019999983,6.018362,None,None,None
53000,0.69885004,0.00019999975,5.980466,154.06580805778503,154.0658085873838,2571.0
54000,0.7095106,0.00019999975,6.0106316,None,None,None
55000,0.6936665,0.00019999975,5.941432,83.16257417201996,83.1625738920693,1474.0
56000,0.7272819,0.00019999972,5.40577,274.0603885278106,274.06038854207674,4416.375
57000,0.65499294,0.00019999972,6.0037103,81.26189124584198,81.26189121371135,1431.0
58000,0.6513989,0.00019999972,6.0880513,None,None,None
59000,0.64541453,0.00019999972,6.0119286,204.5814738869667,204.5814721463248,3300.0
60000,0.64873224,0.00019999972,6.1357975,None,None,None
61000,0.70716316,0.00019999972,5.597065,271.10512917116284,271.105130177248,4330.625
62000,0.632893,0.00019999972,6.198883,None,None,None
63000,0.6047574,0.00019999972,6.2256885,None,None,None
64000,0.5972549,0.00019999972,6.1668525,180.98395133018494,180.98395091112434,2954.0
65000,0.57936513,0.00019999972,6.177104,266.20361828804016,266.2036171905056,4227.0
66000,0.7226534,0.00019999972,5.270262,253.92847472173162,253.9284750136119,4024.25
67000,0.6971151,0.00019999972,5.654455,72.9400030374527,72.94000415022356,1287.0
68000,0.7039173,0.00019999969,5.7287683,None,None,None
69000,0.72493845,0.00019999967,5.668642,None,None,None
70000,0.7271874,0.00019999967,5.655453,None,None,None
